16 16
4
5
5
14 8
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0 
0; 1; 1; 1; 1;1P; 1; 1; 0; 0; 0; 2; 2; 2; 2; 0
0; 1;1M;1M; 1; 1; 1; 1; 1; 1; 0; 2; 2; 2;2P; 2
0; 1;1M;1M;1M; 1; 1; 1; 1; 1; 1; 2; 2; 2; 2; 2
0; 1;1M;1M;1M; 1; 1; 1; 1; 1; 2; 2; 2;2M;2M; 2
1; 1; 1;1M; 1; 1; 1; 1; 1; 2; 2; 2; 2;2M;2M; 0
1; 1; 1; 1; 1; 1; 4; 4; 4; 4; 4; 2; 2; 2; 0; 0
0; 1; 1; 1; 1; 4; 4; 4; 4; 4;4P; 4; 2; 2; 2; 2
0; 3; 3; 3; 4; 4; 4; 4;4M;4M; 4; 3; 3; 3; 3; 3
0; 3; 3; 3; 3; 4; 4; 4; 4; 4;4M; 4; 3; 3; 3; 0
0; 0; 0; 3; 3; 3; 4; 4; 4; 4; 4;4M; 4; 3; 3; 0
0; 0; 3; 3; 3; 3; 3;3M;3M; 4; 4; 4; 3; 3; 3; 0
0; 0;3P; 3; 3; 3; 3; 3;3M;3M; 3; 3; 3; 3; 3; 0
0; 0; 3; 3; 3; 3; 0; 3; 3; 3; 3; 3; 3; 3; 3; 0
0; 3; 3; 3; 3; 0; 0; 3; 3; 3;3M; 3; 3; 3; 3; 0
0; 0; 0; 0; 0; 0; 0; 3; 3; 3; 3; 0; 0; 0; 0; 0
