32 32
6
8
7
14 18
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 0; 0; 0; 0
0; 1;1M;1M; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 2; 2; 2; 2; 2;2M;2M;2M;2M; 2; 2; 2; 2; 2; 2; 2; 2; 0
0; 1;1M;1M;1M; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 2; 2; 2; 2;2M;2M;2M;2M;2M;2M; 2; 2; 2; 2; 2; 0; 0
0; 1;1M;1M;1M; 1; 1;1P; 1; 1; 1; 0; 0; 0; 2; 2; 2; 2; 2; 2;2M;2M;2M; 2; 2; 2; 2; 2; 2; 2; 2; 0
0; 1; 1;1M; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 2; 2; 2; 2; 2; 2; 2;2M; 2; 2; 2; 2; 2;2P; 2; 0; 0; 0
0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 0; 0; 0; 0
0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 2; 2; 2; 2; 2; 2; 2; 2; 2;2M; 2; 2; 2; 2; 2; 0        
0; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 2; 2; 2; 2; 2; 2; 2; 2;2M;2M; 2; 2; 2; 2; 2; 0
0; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3;3P; 4; 4; 4; 4; 4; 4; 4;4M; 4; 4; 4; 0; 0
0; 0; 0; 3; 3; 3; 3;3M; 3; 3; 3; 3; 3; 3; 3; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4;4M;4M; 4; 4; 0; 0
0; 0; 3; 3; 3; 3; 3;3M;3M; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 0; 0
0; 0; 3; 3; 3; 3; 3; 3;3M;3M; 3; 3; 3; 3; 3; 3; 3; 3; 4; 4; 4; 4; 4; 4;4M; 4; 4; 4; 4; 4; 4; 0
0; 0; 0; 0; 0; 0; 3; 3; 3;3M;3M; 3; 3; 3; 3; 3; 3; 3; 3; 4; 4; 4;4M;4M;4M; 4; 4; 4; 4; 4; 4; 4
0; 0; 0; 0; 3; 3; 3; 3; 3; 3;3M; 3; 3; 3; 3; 3; 3; 4; 4; 4; 4; 4; 4;4M;4M;4M; 4; 4; 4; 4; 0; 0
0; 0; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 4; 4; 4; 4; 4; 4;4M;4M;4M; 4; 4; 4; 4; 4
0; 0; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4;4M; 4; 4; 4; 4; 4; 4; 0
0; 0; 5; 5; 5; 5;5M;5M; 5; 5; 5; 5; 6; 6; 6; 6; 6; 6; 6; 6; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4
5; 5; 5; 5; 5; 5; 5;5M;5M; 5; 5; 5; 5; 6; 6; 6; 6; 6; 6; 6; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 0; 0
5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 5; 6; 6; 6; 6; 6; 6; 6; 6; 6; 6; 6; 4; 4; 4; 4; 4; 4; 4; 4; 4; 0
5; 5; 5; 5;5M; 5; 5; 5; 5; 5; 5; 5; 6; 6; 6; 6; 6; 6; 6; 6; 6; 6; 6; 4; 4; 4; 4; 4; 4; 4; 4; 0
0; 5; 5; 5;5M;5M; 5; 5; 5; 5; 5; 5; 6; 6; 6; 6;6M;6M; 6; 6; 6; 6; 6; 4; 4; 4; 4; 4; 4; 4; 0; 0
5; 5; 5; 5;5M;5M; 5; 5; 5; 5; 5; 5; 5; 6; 6; 6; 6; 6; 6; 6; 6; 6; 6; 6; 6; 4; 4; 4; 4; 4; 4; 0
